,경기날짜,경기ID,홈팀ID,홈팀점수,홈팀어시,홈팀리바운드,어웨이팀ID,어웨이팀점수,어웨이팀어시,어웨이팀리바운드,홈팀승리여부,홈팀,어웨이팀
0,2022-03-12,22101005,1610612748,104.0,23.0,53.0,1610612750,113.0,21.0,46.0,0,MIA,MIN
1,2021-05-07,22001005,1610612748,121.0,27.0,37.0,1610612750,112.0,27.0,41.0,1,MIA,MIN
2,2020-02-26,21900868,1610612748,126.0,30.0,43.0,1610612750,129.0,28.0,33.0,0,MIA,MIN
3,2014-04-04,21301135,1610612748,121.0,20.0,52.0,1610612750,122.0,27.0,46.0,0,MIA,MIN
4,2012-12-18,21200359,1610612748,103.0,25.0,24.0,1610612750,92.0,18.0,53.0,1,MIA,MIN
5,2010-11-02,21000050,1610612748,129.0,31.0,47.0,1610612750,97.0,14.0,40.0,1,MIA,MIN
6,2010-02-23,20900839,1610612748,88.0,17.0,36.0,1610612750,91.0,15.0,47.0,0,MIA,MIN
7,2009-02-18,20800800,1610612748,104.0,19.0,24.0,1610612750,111.0,24.0,49.0,0,MIA,MIN
8,2007-12-17,20700357,1610612748,91.0,17.0,49.0,1610612750,87.0,15.0,45.0,1,MIA,MIN
9,2007-03-09,20600922,1610612748,105.0,16.0,40.0,1610612750,91.0,17.0,28.0,1,MIA,MIN
10,2006-01-01,20500434,1610612748,97.0,23.0,45.0,1610612750,70.0,19.0,37.0,1,MIA,MIN
11,2005-03-10,20400902,1610612748,107.0,18.0,43.0,1610612750,90.0,16.0,36.0,1,MIA,MIN
12,2003-11-08,20300077,1610612748,79.0,15.0,40.0,1610612750,88.0,17.0,45.0,0,MIA,MIN
13,2018-12-30,21800537,1610612748,104.0,19.0,52.0,1610612750,113.0,24.0,49.0,0,MIA,MIN
14,2017-10-30,21700093,1610612748,122.0,17.0,50.0,1610612750,125.0,20.0,40.0,0,MIA,MIN
15,2017-03-17,21601025,1610612748,123.0,29.0,40.0,1610612750,105.0,14.0,28.0,1,MIA,MIN
16,2016-10-15,11600071,1610612748,96.0,23.0,36.0,1610612750,101.0,16.0,51.0,0,MIA,MIN
17,2016-10-08,11600032,1610612748,100.0,21.0,42.0,1610612750,109.0,18.0,51.0,0,MIA,MIN
18,2015-11-17,21500161,1610612748,91.0,20.0,51.0,1610612750,103.0,14.0,54.0,0,MIA,MIN
19,2014-11-08,21400085,1610612748,102.0,26.0,40.0,1610612750,92.0,13.0,49.0,1,MIA,MIN
20,2022-02-11,22100843,1610612741,134.0,32.0,43.0,1610612750,122.0,32.0,32.0,1,CHI,MIN
21,2021-02-24,22000493,1610612741,133.0,28.0,43.0,1610612750,126.0,28.0,41.0,1,CHI,MIN
22,2020-01-22,21900661,1610612741,117.0,21.0,50.0,1610612750,110.0,27.0,43.0,1,CHI,MIN
23,2014-01-27,21300664,1610612741,86.0,20.0,42.0,1610612750,95.0,20.0,40.0,0,CHI,MIN
24,2012-11-10,21200084,1610612741,87.0,19.0,47.0,1610612750,80.0,23.0,40.0,1,CHI,MIN
25,2012-10-19,11200073,1610612741,92.0,23.0,47.0,1610612750,81.0,19.0,41.0,1,CHI,MIN
26,2010-12-11,21000345,1610612741,113.0,28.0,53.0,1610612750,82.0,12.0,36.0,1,CHI,MIN
27,2010-01-09,20900533,1610612741,110.0,26.0,46.0,1610612750,96.0,21.0,38.0,1,CHI,MIN
28,2009-10-16,10900068,1610612741,94.0,21.0,50.0,1610612750,90.0,18.0,48.0,1,CHI,MIN
29,2009-01-03,20800492,1610612741,92.0,24.0,41.0,1610612750,102.0,16.0,51.0,0,CHI,MIN
30,2008-10-14,10800051,1610612741,86.0,22.0,35.0,1610612750,96.0,14.0,45.0,0,CHI,MIN
31,2008-01-29,20700660,1610612741,96.0,18.0,48.0,1610612750,85.0,16.0,36.0,1,CHI,MIN
32,2006-12-09,20600292,1610612741,81.0,16.0,44.0,1610612750,91.0,25.0,41.0,0,CHI,MIN
33,2006-10-20,10600075,1610612741,83.0,17.0,40.0,1610612750,85.0,17.0,45.0,0,CHI,MIN
34,2006-02-28,20500839,1610612741,111.0,23.0,42.0,1610612750,100.0,20.0,35.0,1,CHI,MIN
35,2005-10-17,10500044,1610612741,89.0,18.0,36.0,1610612750,97.0,21.0,37.0,0,CHI,MIN
36,2004-12-11,20400290,1610612741,99.0,23.0,53.0,1610612750,88.0,19.0,50.0,1,CHI,MIN
37,2003-11-13,20300113,1610612741,89.0,24.0,41.0,1610612750,92.0,24.0,44.0,0,CHI,MIN
38,2018-12-26,21800507,1610612741,94.0,22.0,45.0,1610612750,119.0,26.0,52.0,0,CHI,MIN
39,2018-02-09,21700822,1610612741,114.0,22.0,39.0,1610612750,113.0,19.0,46.0,1,CHI,MIN
40,2016-12-13,21600370,1610612741,94.0,20.0,42.0,1610612750,99.0,24.0,48.0,0,CHI,MIN
41,2015-11-07,21500085,1610612741,93.0,20.0,50.0,1610612750,102.0,26.0,58.0,0,CHI,MIN
42,2015-02-27,21400862,1610612741,96.0,24.0,53.0,1610612750,89.0,17.0,45.0,1,CHI,MIN
43,2014-10-24,11400111,1610612741,112.0,23.0,50.0,1610612750,113.0,23.0,38.0,0,CHI,MIN
44,2021-02-03,22000334,1610612759,111.0,28.0,45.0,1610612750,108.0,22.0,49.0,1,SAS,MIN
45,2014-01-12,21300554,1610612759,104.0,31.0,46.0,1610612750,86.0,17.0,40.0,1,SAS,MIN
46,2013-12-13,21300338,1610612759,117.0,32.0,42.0,1610612750,110.0,22.0,41.0,1,SAS,MIN
47,2013-04-17,21201225,1610612759,95.0,20.0,40.0,1610612750,108.0,26.0,45.0,0,SAS,MIN
48,2013-01-13,21200552,1610612759,106.0,31.0,43.0,1610612750,88.0,23.0,38.0,1,SAS,MIN
49,2012-03-21,21100690,1610612759,116.0,29.0,56.0,1610612750,100.0,20.0,41.0,1,SAS,MIN
50,2011-01-09,21000546,1610612759,94.0,21.0,48.0,1610612750,91.0,16.0,50.0,1,SAS,MIN
51,2010-12-03,21000283,1610612759,107.0,23.0,37.0,1610612750,101.0,18.0,59.0,1,SAS,MIN
52,2010-04-12,20901208,1610612759,133.0,30.0,39.0,1610612750,111.0,21.0,36.0,1,SAS,MIN
53,2009-12-29,20900457,1610612759,117.0,32.0,49.0,1610612750,99.0,11.0,46.0,1,SAS,MIN
54,2009-03-17,20801005,1610612759,93.0,21.0,44.0,1610612750,86.0,13.0,41.0,1,SAS,MIN
55,2008-12-23,20800419,1610612759,99.0,19.0,35.0,1610612750,93.0,10.0,38.0,1,SAS,MIN
56,2008-03-28,20701079,1610612759,99.0,20.0,40.0,1610612750,84.0,21.0,33.0,1,SAS,MIN
57,2008-01-12,20700536,1610612759,105.0,23.0,36.0,1610612750,88.0,20.0,35.0,1,SAS,MIN
58,2006-12-13,20600322,1610612759,95.0,18.0,32.0,1610612750,82.0,18.0,39.0,1,SAS,MIN
59,2006-01-28,20500636,1610612759,102.0,17.0,44.0,1610612750,88.0,12.0,36.0,1,SAS,MIN
60,2006-01-06,20500466,1610612759,83.0,13.0,38.0,1610612750,77.0,10.0,40.0,1,SAS,MIN
61,2005-03-16,20400951,1610612759,89.0,21.0,40.0,1610612750,73.0,14.0,44.0,1,SAS,MIN
62,2004-12-23,20400378,1610612759,96.0,22.0,39.0,1610612750,82.0,16.0,43.0,1,SAS,MIN
63,2004-03-18,20300985,1610612759,106.0,20.0,43.0,1610612750,86.0,15.0,37.0,1,SAS,MIN
