,선수명,팀ID,선수ID,시즌,팀약어
0,Royce O'Neale,1610612762,1626220,2019,UTA
1,Bojan Bogdanovic,1610612762,202711,2019,UTA
2,Rudy Gobert,1610612762,203497,2019,UTA
3,Donovan Mitchell,1610612762,1628378,2019,UTA
4,Mike Conley,1610612762,201144,2019,UTA
5,Joe Ingles,1610612762,204060,2019,UTA
6,Ed Davis,1610612762,202334,2019,UTA
7,Jeff Green,1610612762,201145,2019,UTA
8,Dante Exum,1610612762,203957,2019,UTA
9,Emmanuel Mudiay,1610612762,1626144,2019,UTA
10,Georges Niang,1610612762,1627777,2019,UTA
11,Tony Bradley,1610612762,1628396,2019,UTA
12,Nigel Williams-Goss,1610612762,1628430,2019,UTA
13,Miye Oni,1610612762,1629671,2019,UTA
14,Juwan Morgan,1610612762,1629752,2019,UTA
15,Stanton Kidd,1610612762,1629742,2019,UTA
16,Justin Wright-Foreman,1610612762,1629625,2019,UTA
17,Jarrell Brantley,1610612762,1629714,2019,UTA
18,Kyle Collinsworth,1610612762,1627858,2019,UTA
19,William Howard,1610612762,1629739,2019,UTA
20,Trevon Bluiett,1610612762,1629129,2019,UTA
21,Joe Ingles,1610612762,204060,2018,UTA
22,Jae Crowder,1610612762,203109,2018,UTA
23,Rudy Gobert,1610612762,203497,2018,UTA
24,Donovan Mitchell,1610612762,1628378,2018,UTA
25,Ricky Rubio,1610612762,201937,2018,UTA
26,Royce O'Neale,1610612762,1626220,2018,UTA
27,Thabo Sefolosha,1610612762,200757,2018,UTA
28,Georges Niang,1610612762,1627777,2018,UTA
29,Derrick Favors,1610612762,202324,2018,UTA
30,Grayson Allen,1610612762,1628960,2018,UTA
31,Kyle Korver,1610612762,2594,2018,UTA
32,Raul Neto,1610612762,203526,2018,UTA
33,Ekpe Udoh,1610612762,202327,2018,UTA
34,Naz Mitrou-Long,1610612762,1628513,2018,UTA
35,Tony Bradley,1610612762,1628396,2018,UTA
36,Tyler Cavanaugh,1610612762,1628463,2018,UTA
37,Dante Exum,1610612762,203957,2018,UTA
38,Alec Burks,1610612762,202692,2018,UTA
39,Jairus Lyles,1610612762,1629131,2018,UTA
40,Isaiah Cousins,1610612762,1627766,2018,UTA
41,Isaac Haas,1610612762,1629036,2018,UTA
42,Trey Lewis,1610612762,1629163,2018,UTA
43,Joe Ingles,1610612762,204060,2017,UTA
44,Jae Crowder,1610612762,203109,2017,UTA
45,Rudy Gobert,1610612762,203497,2017,UTA
46,Royce O'Neale,1610612762,1626220,2017,UTA
47,Donovan Mitchell,1610612762,1628378,2017,UTA
48,Raul Neto,1610612762,203526,2017,UTA
49,Derrick Favors,1610612762,202324,2017,UTA
50,Alec Burks,1610612762,202692,2017,UTA
51,Jonas Jerebko,1610612762,201973,2017,UTA
52,Tony Bradley,1610612762,1628396,2017,UTA
53,David Stockton,1610612762,204065,2017,UTA
54,Ekpe Udoh,1610612762,202327,2017,UTA
55,Dante Exum,1610612762,203957,2017,UTA
56,Ricky Rubio,1610612762,201937,2017,UTA
57,Georges Niang,1610612762,1627777,2017,UTA
58,Erik McCree,1610612762,1628571,2017,UTA
59,Naz Mitrou-Long,1610612762,1628513,2017,UTA
60,Rodney Hood,1610612762,203918,2017,UTA
61,Joe Johnson,1610612762,2207,2017,UTA
62,Thabo Sefolosha,1610612762,200757,2017,UTA
63,Nate Wolters,1610612762,203489,2017,UTA
64,Joel Bolomboy,1610612762,1627762,2017,UTA
65,Torian Graham,1610612762,1628680,2017,UTA
66,Eric Griffin,1610612762,203547,2017,UTA
67,Taylor Braun,1610612762,1628579,2017,UTA
68,Gordon Hayward,1610612762,202330,2016,UTA
